topic,topic_label,n_threads,percentage_of_full_corpus,topic_display
13,Bonesmashing and mechanical facial-change theories,36,2.65,Topic 13: Bonesmashing and mechanical facial-change theories
12,Peptides and biochemical enhancement,37,2.72,Topic 12: Peptides and biochemical enhancement
11,"Hair density, scalp, forehead, and hairstyle",44,3.23,"Topic 11: Hair density, scalp, forehead, and hairstyle"
10,"Motivation, persistence, and self-improvement framing",50,3.67,"Topic 10: Motivation, persistence, and self-improvement framing"
9,"Height, growth hormone, and growth plates",59,4.34,"Topic 9: Height, growth hormone, and growth plates"
8,"Facial harmony, dimorphism, and attractiveness ratios",60,4.41,"Topic 8: Facial harmony, dimorphism, and attractiveness ratios"
7,Hormonal and pharmacological enhancement,73,5.36,Topic 7: Hormonal and pharmacological enhancement
6,Attractiveness ratings and looks-based classification,76,5.58,Topic 6: Attractiveness ratings and looks-based classification
5,Facial feature adjustment and appearance improvement,89,6.54,Topic 5: Facial feature adjustment and appearance improvement
4,"Social hierarchy, charm-maxxing, and interpersonal appeal",93,6.83,"Topic 4: Social hierarchy, charm-maxxing, and interpersonal appeal"
3,"Acne treatment, skincare, and pigmentation",105,7.71,"Topic 3: Acne treatment, skincare, and pigmentation"
2,"Eye area, eyebrows, lashes, and cosmetic enhancement",109,8.01,"Topic 2: Eye area, eyebrows, lashes, and cosmetic enhancement"
1,"Dieting, calorie restriction, and body composition",121,8.89,"Topic 1: Dieting, calorie restriction, and body composition"
0,"Craniofacial, dental, and injectable facial modification",203,14.92,"Topic 0: Craniofacial, dental, and injectable facial modification"
